source,title,link,pubDate,content,isoDate
Dublin Inquirer,"Children placed in emergency accommodation for kids in care are scared, and high-risk children are more likely to get stuck there",https://www.dublininquirer.com/children-placed-in-emergency-accommodation-for-kids-in-care-are-scared-and-high-risk-children-are-more-likely-to-get-stuck-there/,"Fri, 25 Jul 2025 00:01:48 GMT","“Every child I have been with on admission to emergency placements, whether it is foster care or residential, has told me they are scared,” says Claire Brogan, a practice manager with Barnardos.",2025-07-25T00:01:48.000Z
Dublin Inquirer,Sixty-six affordable homes in Ballymun are held up amid council reviews,https://www.dublininquirer.com/sixty-six-affordable-homes-in-ballymun-are-held-up-amid-council-reviews/,"Fri, 25 Jul 2025 00:01:11 GMT",What’s behind the delays?,2025-07-25T00:01:11.000Z
Dublin Inquirer,"Dublin’s Housing First programme is on pause, raising questions about competitive tendering for social care services",https://www.dublininquirer.com/dublins-housing-first-programme-is-on-pause-raising-questions-about-competitive-tendering-for-social-care-services/,"Fri, 18 Jul 2025 00:32:54 GMT","“Housing First works best when it is high quality, consistent and for as long as necessary,” says Samara Jones, coordinator of the Housing First Europe Hub.",2025-07-18T00:32:54.000Z
Irish Independent,"‘Say what you like about Haughey, he knew how to unblock planning,’ says former Fianna Fáil minister",https://www.independent.ie/irish-news/say-what-you-like-about-haughey-he-knew-how-to-unblock-planning-says-former-fianna-fail-minister/a1675554539.html,"Sun, 27 Jul 2025 06:30:00 +0200",Fianna Fáil MEP Barry Cowen has said the Government needs to follow Charles Haughey’s example to circumvent “planning blockages” and speed up the delivery of housing.,2025-07-27T04:30:00.000Z
Irish Independent,"‘Stunned, shocked, disgusted, deflated’: parents of boy beaten by Niall Gilligan react to former hurler’s acquittal",https://www.independent.ie/news/stunned-shocked-disgusted-deflated-parents-of-boy-beaten-by-niall-gilligan-react-to-former-hurlers-acquittal/a1062355930.html,"Sun, 27 Jul 2025 06:30:00 +0200","On the edge of the vill­age of Sixmilebridge in Co Clare, a couple sit in their kitchen, scrolling through pictures on their phone of their then 12-year-old son. The family dog is at their feet, their younger children playing happily as they look out on rolling green fields.",2025-07-27T04:30:00.000Z
Irish Times,"Opinion: The Sacred Heart picture, once ubiquitous in Irish Catholic homes, has a fascinating history",https://www.irishtimes.com/opinion/2025/07/27/opinion-the-sacred-heart-picture-once-ubiquitous-in-irish-catholic-homes-has-a-fascinating-history/,"Sat, 26 Jul 2025 23:30:00 +0000","Rite & Reason: From the outset, the image had a political edge. During the French Revolution it was adopted as a royalist symbol",2025-07-26T23:30:00.000Z
Irish Examiner,The scale of this €2.6m Cork property offers something unique,https://www.irishexaminer.com/property/residential/arid-41676821.html,2025-07-27T19:38:00.000Z,"Moneygourney offering of homes, guest unit and planning permission for three more will interest a range of buyers, says Catherine Shanahan",2025-07-27T19:38:00.000Z
RTE News,Watch: CMAT housing song strikes chord with young people,https://www.rte.ie/news/ireland/2025/0727/1525533-cmat-housing-single/,"Sun, 27 Jul 2025 07:01:01 +0100","In the week when the Government made housing the focus of its revised National Development Plan, CMAT's newest single struck a chord with young people at the sharp end of the housing crisis.",2025-07-27T06:01:01.000Z
The Journal,DAFT.IE PROPERTY MAGAZINE,https://www.thejournal.ie/river/daft-ie-property-magazine-2482533-Jul2025/,"Thu, 01 Jan 1970 01:00:00 +0100",Tour this Georgian coastal masterpiece in the heart of marvellous Monkstown,1970-01-01T00:00:00.000Z
The Journal,Plans for 950-bed Cork student accommodation on former Magdalene laundry site put on hold,https://www.thejournal.ie/plans-for-cork-student-accommodation-put-on-hold-magdalene-laundry-6775254-Jul2025/,"Sun, 27 Jul 2025 17:44:14 +0100",An Coimisiún Pleanála has received four separate appeals against the recent decision of Cork City Council to grant planning permission for the development.,2025-07-27T16:44:14.000Z
The Journal,UN to try and reach Gaza's starving population after Israeli army announces 'tactical pause',https://www.thejournal.ie/israel-tactical-pause-gaza-malnutrition-6774889-Jul2025/,"Sun, 27 Jul 2025 13:46:00 +0100",Aid trucks have entered Gaza from Egypt and Jordanian and Emirati planes have dropped 25 tonnes of humanitarian aid over Gaza so far today.,2025-07-27T12:46:00.000Z
